"","X","year","month","yearmon","Number.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful"
"173","National","2014","january",2014-01-01,51,11,"9,087","2,930","736",286,"1,715",284,522,139,"11,057","998","846",137,"2,693",472,"4,988",305,"4,752",797,"3,291",586,"12,945","1,466","890"
"174","Avon and Somerset","2014","january",2014-01-01,0,0,"228","62","35",17,"49",1,8,0,"338","32","18",0,"93",14,"148",4,"123",28,"63",9,"256","40","20"
"175","Bedfordshire","2014","january",2014-01-01,0,1,"68","29","2",1,"7",4,16,7,"75","4","17",3,"22",8,"31",3,"30",9,"13",2,"171","13","12"
"176","Cambridgeshire","2014","january",2014-01-01,0,0,"101","21","10",3,"18",4,6,4,"148","15","10",4,"30",3,"47",1,"37",2,"28",9,"103","16","14"
"177","Cheshire","2014","january",2014-01-01,0,0,"170","40","15",1,"38",5,10,0,"205","5","14",1,"39",3,"64",3,"77",8,"50",5,"264","16","13"
"178","Cleveland","2014","january",2014-01-01,2,3,"119","44","11",6,"36",2,3,2,"334","31","11",3,"46",13,"65",2,"123",27,"34",14,"228","16","3"
"179","Cumbria","2014","january",2014-01-01,0,0,"113","13","4",3,"16",0,1,0,"115","7","6",0,"38",3,"52",1,"78",2,"52",5,"112","7","12"
"180","Derbyshire","2014","january",2014-01-01,0,1,"135","58","22",7,"36",4,5,2,"194","17","15",0,"53",12,"86",9,"59",15,"28",12,"251","9","13"
"181","Devon and Cornwall","2014","january",2014-01-01,0,0,"220","64","16",3,"25",4,10,0,"199","23","18",2,"74",9,"96",5,"83",11,"75",14,"410","31","10"
"182","Dorset","2014","january",2014-01-01,0,0,"87","29","6",7,"20",1,6,0,"96","5","4",0,"30",4,"47",5,"42",8,"61",14,"112","15","7"
"183","Durham","2014","january",2014-01-01,1,0,"105","29","9",3,"28",4,0,0,"171","20","20",2,"42",10,"38",1,"82",9,"12",5,"130","9","2"
"184","Dyfed Powys","2014","january",2014-01-01,0,0,"69","15","4",3,"8",1,3,3,"79","8","4",0,"30",2,"82",5,"81",7,"19",1,"274","17","2"
"185","Essex","2014","january",2014-01-01,3,0,"331","91","11",6,"42",14,7,2,"327","25","31",2,"101",12,"111",4,"135",8,"83",8,"215","42","14"
"186","Gloucestershire","2014","january",2014-01-01,0,0,"71","15","4",1,"20",1,3,1,"89","0","9",1,"14",4,"31",2,"25",1,"5",1,"97","7","7"
"187","GreaterManchester","2014","january",2014-01-01,2,1,"478","126","52",20,"94",10,34,3,"495","35","39",6,"143",26,"200",12,"297",37,"179",21,"772","53","32"
"188","Gwent","2014","january",2014-01-01,0,0,"85","34","5",0,"11",2,2,2,"129","13","5",0,"38",4,"48",4,"74",11,"21",4,"106","31","7"
"189","Hampshire","2014","january",2014-01-01,0,0,"303","83","19",17,"34",15,4,3,"317","41","25",10,"78",24,"187",8,"115",25,"162",29,"245","36","19"
"190","Hertfordshire","2014","january",2014-01-01,3,0,"113","33","8",6,"20",4,4,0,"149","24","13",3,"27",6,"70",6,"53",8,"28",6,"153","29","16"
"191","Humberside","2014","january",2014-01-01,0,1,"217","45","16",5,"29",5,7,0,"271","25","16",3,"79",5,"82",4,"128",10,"47",3,"390","21","10"
"192","Kent","2014","january",2014-01-01,0,0,"230","89","19",4,"59",3,10,1,"356","34","21",5,"87",23,"85",4,"38",8,"200",27,"142","22","30"
"193","Lancashire","2014","january",2014-01-01,4,0,"337","101","29",5,"83",9,24,0,"383","23","20",1,"114",13,"101",2,"223",31,"104",21,"300","39","33"
"194","Leicestershire","2014","january",2014-01-01,2,1,"142","28","15",6,"13",5,4,1,"155","9","12",2,"23",5,"34",2,"50",10,"32",3,"307","11","18"
"195","Lincolnshire","2014","january",2014-01-01,1,0,"117","21","5",2,"14",1,2,0,"128","14","3",0,"26",3,"28",1,"71",5,"8",10,"155","27","10"
"196","Merseyside","2014","january",2014-01-01,2,1,"236","83","27",8,"39",9,21,3,"264","17","21",1,"65",7,"279",25,"128",22,"148",13,"391","32","22"
"197","Metropolitan and City","2014","january",2014-01-01,13,0,"1,306","549","108",63,"266",62,147,59,"1,388","182","231",40,"312",62,"1,228",64,"779",170,"527",106,"1,889","405","261"
"198","Norfolk","2014","january",2014-01-01,0,0,"193","42","15",0,"16",0,3,0,"190","14","15",3,"41",5,"60",3,"83",10,"65",8,"135","11","15"
"199","Northamptonshire","2014","january",2014-01-01,0,0,"106","26","6",0,"16",6,4,3,"128","15","5",0,"22",9,"35",4,"29",8,"11",2,"214","7","9"
"200","Northumbria","2014","january",2014-01-01,3,0,"240","80","30",10,"74",11,13,2,"526","42","31",2,"105",23,"115",19,"148",27,"280",60,"503","53","17"
"201","North Wales","2014","january",2014-01-01,1,0,"118","34","10",4,"26",2,2,0,"165","9","7",1,"45",5,"57",0,"75",11,"118",7,"268","14","7"
"202","North Yorkshire","2014","january",2014-01-01,0,0,"98","43","8",0,"18",1,1,2,"171","13","8",4,"39",8,"48",7,"100",10,"28",2,"137","13","3"
"203","Nottinghamshire","2014","january",2014-01-01,0,0,"179","73","14",3,"43",2,22,1,"247","22","17",0,"55",7,"78",4,"75",16,"67",14,"189","25","17"
"204","South Wales","2014","january",2014-01-01,0,0,"362","111","7",7,"49",8,4,0,"359","10","19",3,"124",12,"161",6,"243",41,"70",12,"735","94","17"
"205","South Yorkshire","2014","january",2014-01-01,2,1,"229","58","18",2,"51",8,10,1,"409","30","13",1,"80",12,"140",10,"164",17,"44",10,"362","17","11"
"206","Staffordshire","2014","january",2014-01-01,2,0,"165","51","10",5,"28",5,18,5,"201","27","12",2,"53",8,"84",8,"97",21,"23",3,"646","31","11"
"207","Suffolk","2014","january",2014-01-01,1,0,"165","20","4",0,"18",0,2,1,"111","9","8",0,"33",5,"66",0,"75",5,"33",1,"79","12","3"
"208","Surrey","2014","january",2014-01-01,0,0,"139","54","7",4,"30",6,1,1,"114","22","11",0,"24",6,"79",5,"66",7,"74",10,"201","21","21"
"209","Sussex","2014","january",2014-01-01,0,0,"266","128","21",11,"40",6,8,1,"290","22","18",1,"73",15,"115",13,"113",22,"82",29,"239","22","22"
"210","Thames Valley","2014","january",2014-01-01,4,1,"276","108","24",6,"41",9,13,7,"336","36","24",4,"59",8,"147",8,"117",27,"47",13,"429","33","44"
"211","Warwickshire","2014","january",2014-01-01,0,0,"42","5","2",0,"17",2,0,0,"58","0","2",1,"15",1,"21",0,"28",6,"22",4,"227","28","5"
"212","West Mercia","2014","january",2014-01-01,0,0,"162","35","10",6,"35",4,4,4,"172","3","10",1,"40",7,"68",0,"99",17,"25",6,"256","38","6"
"213","West Midlands","2014","january",2014-01-01,1,0,"419","178","45",12,"97",18,49,15,"559","53","31",11,"133",31,"247",15,"135",33,"201",39,"394","40","47"
"214","West Yorkshire","2014","january",2014-01-01,3,0,"480","159","44",18,"96",25,31,3,"531","55","27",14,"111",32,"198",22,"147",41,"68",19,"363","58","44"
"215","Wiltshire","2014","january",2014-01-01,1,0,"67","23","9",1,"15",1,0,0,"85","7","5",0,"37",3,"29",4,"27",6,"54",5,"95","5","4"
"130","National","2014","february",2014-02-01,61,18,"8,366","2,891","712",288,"1,549",284,541,163,"10,150","945","758",111,"2,455",427,"4,565",292,"3,787",730,"3,208",597,"12,078","1,425","816"
"131","Avon and Somerset","2014","february",2014-02-01,0,0,"263","74","41",13,"39",12,7,6,"320","30","12",2,"76",14,"140",3,"131",23,"55",13,"191","33","25"
"132","Bedfordshire","2014","february",2014-02-01,0,0,"59","26","6",3,"11",3,7,1,"84","13","7",2,"12",4,"19",0,"7",7,"11",1,"36","9","19"
"133","Cambridgeshire","2014","february",2014-02-01,0,0,"109","31","16",6,"25",4,0,0,"111","4","17",1,"21",4,"60",4,"30",6,"26",4,"76","11","13"
"134","Cheshire","2014","february",2014-02-01,0,0,"159","38","19",1,"25",2,7,5,"191","18","14",0,"41",1,"74",6,"86",10,"67",5,"321","19","13"
"135","Cleveland","2014","february",2014-02-01,0,0,"102","37","16",9,"34",6,4,9,"261","30","12",0,"57",19,"66",7,"94",31,"22",5,"101","16","0"
"136","Cumbria","2014","february",2014-02-01,0,0,"67","16","3",1,"13",3,2,0,"116","2","1",0,"42",0,"43",2,"45",2,"55",4,"91","9","5"
"137","Derbyshire","2014","february",2014-02-01,1,0,"145","49","14",3,"27",9,7,2,"201","19","11",1,"54",7,"68",4,"76",27,"46",14,"171","16","6"
"138","Devon and Cornwall","2014","february",2014-02-01,0,1,"142","58","14",3,"39",4,5,1,"161","14","16",1,"49",10,"44",3,"70",16,"77",8,"324","22","9"
"139","Dorset","2014","february",2014-02-01,1,0,"62","21","7",2,"21",3,3,0,"60","7","2",2,"27",4,"21",3,"30",6,"59",13,"66","10","18"
"140","Durham","2014","february",2014-02-01,1,0,"83","33","9",3,"20",6,6,0,"161","17","4",0,"48",4,"30",1,"69",10,"14",6,"74","9","1"
"141","Dyfed Powys","2014","february",2014-02-01,1,0,"73","24","4",1,"13",1,1,0,"64","4","12",0,"17",5,"96",3,"51",6,"30",2,"145","23","4"
"142","Essex","2014","february",2014-02-01,0,0,"324","87","12",4,"33",6,3,4,"257","28","19",3,"58",10,"79",5,"59",9,"86",4,"220","25","23"
"143","Gloucestershire","2014","february",2014-02-01,0,1,"52","20","2",1,"11",0,2,1,"62","6","3",0,"16",3,"34",0,"34",2,"9",1,"128","16","14"
"144","GreaterManchester","2014","february",2014-02-01,0,2,"505","120","38",25,"86",11,32,5,"485","37","23",3,"157",17,"235",10,"235",26,"146",25,"1,160","52","22"
"145","Gwent","2014","february",2014-02-01,0,0,"83","48","10",9,"26",2,12,4,"103","8","11",3,"41",8,"58",6,"89",18,"24",1,"80","25","4"
"146","Hampshire","2014","february",2014-02-01,0,1,"234","88","22",13,"39",7,8,6,"286","29","16",2,"60",19,"132",13,"99",17,"201",23,"187","26","23"
"147","Hertfordshire","2014","february",2014-02-01,2,0,"99","29","2",2,"15",3,0,0,"106","11","14",4,"25",8,"76",5,"32",9,"8",4,"68","13","12"
"148","Humberside","2014","february",2014-02-01,1,0,"188","38","23",9,"37",3,7,4,"260","14","3",0,"49",4,"75",3,"87",14,"39",6,"265","16","16"
"149","Kent","2014","february",2014-02-01,2,1,"200","94","14",5,"43",5,7,1,"359","58","13",5,"67",21,"113",8,"55",16,"203",39,"137","43","35"
"150","Lancashire","2014","february",2014-02-01,2,0,"340","101","24",10,"60",8,24,0,"396","32","15",2,"97",20,"118",10,"174",12,"103",19,"254","35","29"
"151","Leicestershire","2014","february",2014-02-01,2,0,"152","40","17",3,"10",4,6,1,"183","21","6",0,"33",9,"32",5,"38",8,"16",2,"354","17","35"
"152","Lincolnshire","2014","february",2014-02-01,0,0,"89","25","11",2,"24",7,2,0,"103","6","9",1,"21",2,"26",2,"57",10,"18",4,"107","24","14"
"153","Merseyside","2014","february",2014-02-01,4,1,"242","66","25",3,"48",5,22,5,"329","14","53",1,"55",7,"333",14,"112",21,"120",23,"474","32","25"
"154","Metropolitan and City","2014","february",2014-02-01,20,6,"1,331","589","114",77,"246",67,173,55,"1,426","164","232",25,"346",81,"1,054",79,"630",150,"452",123,"1,642","423","194"
"155","Norfolk","2014","february",2014-02-01,0,0,"143","41","10",2,"22",3,7,0,"132","10","13",1,"42",3,"63",2,"70",8,"57",4,"86","12","8"
"156","Northamptonshire","2014","february",2014-02-01,1,0,"83","31","6",3,"21",2,4,2,"102","13","3",2,"24",8,"46",4,"38",7,"26",6,"100","8","27"
"157","Northumbria","2014","february",2014-02-01,0,0,"267","91","15",4,"56",13,17,4,"462","57","16",8,"84",15,"109",14,"160",28,"229",55,"382","42","9"
"158","North Wales","2014","february",2014-02-01,2,1,"106","35","9",5,"29",3,4,1,"145","11","8",0,"42",2,"32",3,"37",6,"79",12,"168","19","4"
"159","North Yorkshire","2014","february",2014-02-01,1,0,"101","33","3",0,"20",8,0,0,"115","9","9",2,"28",2,"41",3,"68",12,"28",2,"129","9","7"
"160","Nottinghamshire","2014","february",2014-02-01,1,0,"193","53","12",4,"29",4,17,1,"216","23","22",1,"44",11,"89",6,"73",22,"97",12,"157","14","12"
"161","South Wales","2014","february",2014-02-01,1,0,"291","81","17",6,"46",3,15,6,"312","10","11",1,"78",3,"161",2,"170",21,"85",9,"1198","77","9"
"162","South Yorkshire","2014","february",2014-02-01,3,0,"232","71","7",3,"40",7,6,2,"329","27","17",4,"83",8,"109",8,"89",8,"44",9,"281","27","12"
"163","Staffordshire","2014","february",2014-02-01,0,0,"132","70","17",4,"19",5,19,3,"203","22","5",2,"68",11,"78",8,"95",24,"43",6,"521","38","8"
"164","Suffolk","2014","february",2014-02-01,0,1,"133","27","7",2,"17",2,0,0,"108","5","13",1,"43",4,"45",0,"53",11,"38",0,"64","10","11"
"165","Surrey","2014","february",2014-02-01,0,0,"108","39","17",4,"21",1,1,0,"140","11","10",2,"27",3,"78",2,"16",7,"68",19,"116","13","21"
"166","Sussex","2014","february",2014-02-01,0,0,"191","75","24",6,"23",5,4,2,"210","17","16",4,"48",10,"104",3,"67",15,"76",33,"288","22","13"
"167","Thames Valley","2014","february",2014-02-01,3,0,"231","116","29",7,"43",4,16,3,"274","38","18",12,"61",10,"114",9,"82",25,"44",14,"699","43","29"
"168","Warwickshire","2014","february",2014-02-01,0,0,"43","13","3",0,"6",5,2,2,"75","3","8",1,"17",0,"11",1,"20",1,"24",1,"225","21","3"
"169","West Mercia","2014","february",2014-02-01,4,1,"130","37","19",7,"26",2,11,5,"158","8","7",1,"45",5,"48",1,"80",15,"28",5,"268","33","7"
"170","West Midlands","2014","february",2014-02-01,6,0,"419","191","26",11,"72",22,50,16,"563","47","22",4,"116",28,"236",17,"106",27,"243",36,"357","48","40"
"171","West Yorkshire","2014","february",2014-02-01,2,2,"379","118","23",11,"103",14,21,3,"458","43","31",5,"112",22,"143",11,"152",36,"71",15,"291","53","32"
"172","Wiltshire","2014","february",2014-02-01,0,0,"81","17","5",1,"11",0,0,3,"63","5","4",2,"24",1,"32",2,"21",1,"41",10,"76","12","5"
"302","National","2014","march",2014-03-01,57,22,"8,595","3,133","731",320,"1,618",239,569,144,"10,716","943","814",114,"2,413",432,"4,649",295,"3,920",717,"2,994",541,"11,155","1,425","633"
"303","Avon and Somerset","2014","march",2014-03-01,1,0,"230","65","30",16,"39",3,14,3,"371","44","19",0,"81",14,"139",8,"107",23,"94",8,"723","78","19"
"304","Bedfordshire","2014","march",2014-03-01,2,0,"102","37","4",0,"26",4,11,0,"147","21","9",1,"28",4,"61",7,"20",8,"20",2,"89","15","8"
"305","Cambridgeshire","2014","march",2014-03-01,0,0,"83","25","4",0,"27",3,5,1,"121","8","10",1,"22",6,"43",1,"55",5,"25",6,"74","10","7"
"306","Cheshire","2014","march",2014-03-01,0,0,"148","42","15",6,"20",2,2,2,"226","8","13",4,"41",5,"73",4,"68",8,"42",9,"245","16","4"
"307","Cleveland","2014","march",2014-03-01,1,0,"92","39","15",4,"38",5,10,8,"278","22","8",4,"39",14,"62",10,"79",24,"28",11,"233","7","3"
"308","Cumbria","2014","march",2014-03-01,0,0,"130","17","5",2,"15",2,1,0,"76","1","4",0,"36",5,"36",1,"28",2,"59",3,"105","13","8"
"309","Derbyshire","2014","march",2014-03-01,1,0,"124","55","13",3,"29",4,3,1,"149","19","6",0,"28",9,"57",8,"46",4,"41",9,"108","15","18"
"310","Devon and Cornwall","2014","march",2014-03-01,1,1,"221","80","11",2,"35",7,0,0,"202","8","5",2,"57",12,"72",6,"76",15,"82",15,"374","31","6"
"311","Dorset","2014","march",2014-03-01,2,0,"84","24","3",4,"16",0,3,0,"115","13","2",0,"26",6,"41",3,"36",6,"46",4,"92","17","9"
"312","Durham","2014","march",2014-03-01,1,0,"88","32","12",5,"29",5,4,1,"161","14","7",1,"47",9,"21",2,"57",15,"15",2,"78","7","0"
"313","Dyfed Powys","2014","march",2014-03-01,0,0,"64","14","6",2,"16",2,0,0,"31","10","2",0,"23",5,"66",5,"51",9,"15",2,"204","15","5"
"314","Essex","2014","march",2014-03-01,4,0,"280","73","19",6,"37",3,13,2,"288","21","16",4,"69",11,"126",4,"65",8,"47",7,"195","19","14"
"315","Gloucestershire","2014","march",2014-03-01,0,0,"64","14","3",1,"21",1,2,0,"100","8","8",0,"22",1,"58",3,"23",4,"5",1,"80","8","7"
"316","GreaterManchester","2014","march",2014-03-01,4,1,"553","157","42",36,"100",5,41,4,"530","20","47",10,"136",19,"242",13,"270",27,"118",13,"1,040","62","29"
"317","Gwent","2014","march",2014-03-01,0,0,"70","17","3",5,"25",6,6,2,"101","9","12",1,"24",10,"36",10,"56",12,"32",8,"72","17","3"
"318","Hampshire","2014","march",2014-03-01,0,1,"249","108","26",21,"35",8,7,4,"284","23","13",5,"79",13,"108",6,"105",29,"148",21,"188","25","14"
"319","Hertfordshire","2014","march",2014-03-01,1,2,"195","52","16",6,"30",7,17,2,"187","21","34",13,"41",4,"121",9,"66",22,"22",9,"155","42","9"
"320","Humberside","2014","march",2014-03-01,2,0,"159","41","23",6,"43",2,8,4,"255","12","7",1,"54",5,"76",4,"90",21,"26",8,"150","21","10"
"321","Kent","2014","march",2014-03-01,2,0,"216","85","13",2,"27",6,18,1,"301","37","23",2,"69",12,"94",7,"48",7,"130",30,"169","18","30"
"322","Lancashire","2014","march",2014-03-01,2,0,"316","102","44",10,"97",12,20,4,"314","35","21",1,"113",17,"112",9,"191",20,"137",16,"243","43","14"
"323","Leicestershire","2014","march",2014-03-01,1,0,"168","63","8",6,"16",6,9,3,"193","18","19",0,"41",7,"36",6,"84",12,"17",5,"323","23","5"
"324","Lincolnshire","2014","march",2014-03-01,0,2,"80","20","5",1,"15",0,4,0,"105","11","3",1,"17",1,"41",2,"56",8,"12",4,"127","16","9"
"325","Merseyside","2014","march",2014-03-01,1,0,"229","66","23",8,"39",1,21,4,"339","12","42",1,"59",11,"279",20,"89",17,"135",20,"417","29","14"
"326","Metropolitan and City","2014","march",2014-03-01,11,7,"1,224","607","108",67,"221",50,162,54,"1,257","152","219",25,"277",67,"1,084",58,"631",125,"496",92,"1,500","388","200"
"327","Norfolk","2014","march",2014-03-01,0,0,"151","42","6",4,"19",3,8,1,"163","17","9",3,"42",5,"63",4,"69",14,"63",16,"107","20","12"
"328","Northamptonshire","2014","march",2014-03-01,3,0,"106","38","8",2,"13",3,1,0,"134","13","8",2,"32",5,"43",0,"47",6,"16",8,"107","8","9"
"329","Northumbria","2014","march",2014-03-01,1,0,"246","99","20",12,"63",8,9,0,"501","60","18",5,"112",25,"100",10,"134",48,"240",61,"274","49","15"
"330","North Wales","2014","march",2014-03-01,0,0,"94","34","7",3,"10",3,7,1,"155","7","4",2,"41",3,"33",3,"44",9,"74",3,"154","12","4"
"331","North Yorkshire","2014","march",2014-03-01,5,0,"121","33","7",0,"25",1,2,1,"161","6","11",1,"35",8,"35",1,"80",6,"12",3,"99","12","9"
"332","Nottinghamshire","2014","march",2014-03-01,1,0,"184","53","8",2,"32",12,20,2,"221","23","14",1,"46",8,"98",6,"55",10,"58",20,"175","26","13"
"333","South Wales","2014","march",2014-03-01,1,0,"240","117","13",7,"57",3,5,1,"287","17","34",2,"67",8,"152",4,"160",17,"66",6,"431","75","13"
"334","South Yorkshire","2014","march",2014-03-01,0,0,"207","56","17",3,"31",2,15,3,"357","18","12",1,"71",13,"130",4,"122",10,"39",5,"208","27","12"
"335","Staffordshire","2014","march",2014-03-01,0,1,"192","70","15",2,"26",3,6,0,"213","25","8",0,"48",10,"82",5,"111",23,"46",5,"264","28","0"
"336","Suffolk","2014","march",2014-03-01,0,0,"136","39","1",3,"15",2,0,0,"104","0","11",1,"35",5,"58",1,"45",2,"36",5,"87","10","4"
"337","Surrey","2014","march",2014-03-01,0,0,"126","74","12",6,"19",7,4,0,"182","35","20",3,"48",11,"98",5,"91",33,"72",27,"155","17","18"
"338","Sussex","2014","march",2014-03-01,0,1,"206","97","25",7,"34",0,4,4,"237","26","13",2,"43",7,"114",8,"57",15,"76",14,"236","15","14"
"339","Thames Valley","2014","march",2014-03-01,3,6,"270","143","32",9,"42",7,5,1,"350","32","26",6,"58",6,"146",10,"122",43,"34",13,"824","52","27"
"340","Warwickshire","2014","march",2014-03-01,0,0,"64","10","3",4,"9",2,2,0,"81","8","8",0,"13",2,"12",0,"33",1,"24",5,"101","13","1"
"341","West Mercia","2014","march",2014-03-01,0,0,"147","37","17",6,"24",4,6,0,"200","12","10",1,"41",5,"63",1,"102",6,"34",7,"213","17","1"
"342","West Midlands","2014","march",2014-03-01,2,0,"446","211","39",13,"85",18,44,23,"674","57","42",3,"146",24,"171",14,"102",19,"218",28,"356","44","10"
"343","West Yorkshire","2014","march",2014-03-01,3,0,"378","122","45",15,"104",15,43,6,"487","34","16",3,"74",14,"121",10,"132",23,"74",8,"307","53","21"
"344","Wiltshire","2014","march",2014-03-01,1,0,"112","23","5",3,"14",2,7,1,"78","6","1",1,"32",6,"46",3,"17",1,"20",2,"73","12","5"
"1","National","2014","april",2014-04-01,81,14,"7,805","2,722","698",269,"1,470",226,517,116,"10,045","840","666",108,"2,259",391,"4,536",279,"3,549",654,"2,640",513,"8,283","1,314","718"
"2","Avon and Somerset","2014","april",2014-04-01,1,0,"167","45","36",8,"37",2,9,3,"266","21","11",0,"54",6,"135",2,"68",11,"66",16,"188","37","24"
"3","Bedfordshire","2014","april",2014-04-01,0,0,"69","23","5",1,"16",1,4,0,"98","9","8",2,"20",6,"45",2,"29",6,"11",6,"40","5","16"
"4","Cambridgeshire","2014","april",2014-04-01,0,0,"99","23","6",3,"8",0,6,1,"107","10","7",0,"21",1,"40",2,"45",9,"6",2,"79","6","4"
"5","Cheshire","2014","april",2014-04-01,1,1,"140","47","17",3,"26",3,1,0,"206","4","16",2,"35",9,"75",10,"86",7,"50",6,"209","12","1"
"6","Cleveland","2014","april",2014-04-01,0,0,"85","41","11",4,"25",10,5,2,"254","32","6",2,"32",8,"63",7,"74",27,"28",5,"124","17","10"
"7","Cumbria","2014","april",2014-04-01,0,0,"77","19","8",1,"12",1,1,0,"108","6","5",0,"37",2,"42",2,"40",2,"64",1,"95","10","12"
"8","Derbyshire","2014","april",2014-04-01,0,0,"151","57","8",6,"31",3,8,3,"203","15","11",9,"40",7,"75",9,"50",4,"46",15,"258","13","16"
"9","Devon and Cornwall","2014","april",2014-04-01,1,0,"157","50","11",4,"16",1,6,0,"151","10","8",0,"56",6,"70",6,"65",20,"64",14,"189","17","15"
"10","Dorset","2014","april",2014-04-01,0,0,"73","16","1",0,"18",1,3,0,"123","11","7",2,"24",4,"29",2,"45",3,"25",1,"71","7","5"
"11","Durham","2014","april",2014-04-01,2,0,"75","26","11",4,"30",0,0,1,"144","19","4",5,"43",7,"19",2,"58",13,"12",3,"66","3","0"
"12","Dyfed Powys","2014","april",2014-04-01,0,0,"63","26","0",1,"17",3,2,0,"56","5","2",1,"27",4,"76",5,"28",11,"20",0,"178","15","5"
"13","Essex","2014","april",2014-04-01,1,0,"261","68","20",7,"39",12,6,2,"280","10","16",4,"63",15,"97",1,"79",3,"52",11,"175","21","20"
"14","Gloucestershire","2014","april",2014-04-01,0,0,"41","13","4",1,"13",0,0,1,"68","8","9",2,"14",1,"22",3,"14",2,"19",6,"80","5","11"
"15","GreaterManchester","2014","april",2014-04-01,1,0,"471","103","44",16,"87",15,29,8,"532","22","51",7,"172",19,"239",15,"249",20,"132",13,"455","68","47"
"16","Gwent","2014","april",2014-04-01,0,0,"77","26","6",6,"20",5,2,0,"124","7","8",0,"20",8,"55",3,"58",13,"16",4,"66","20","4"
"17","Hampshire","2014","april",2014-04-01,2,0,"253","88","18",10,"38",8,8,5,"317","26","19",6,"79",12,"134",13,"95",18,"104",21,"227","24","22"
"18","Hertfordshire","2014","april",2014-04-01,1,0,"132","39","15",3,"29",4,12,0,"210","25","23",5,"47",3,"114",8,"83",8,"12",2,"158","24","22"
"19","Humberside","2014","april",2014-04-01,0,0,"181","24","12",8,"41",7,5,0,"229","14","14",1,"44",3,"55",3,"96",12,"22",5,"119","24","13"
"20","Kent","2014","april",2014-04-01,9,5,"235","74","17",11,"44",1,9,3,"305","33","11",3,"65",22,"109",4,"36",14,"125",28,"164","16","17"
"21","Lancashire","2014","april",2014-04-01,1,0,"265","112","30",13,"63",11,9,2,"272","15","19",4,"93",18,"114",9,"147",15,"113",13,"256","47","17"
"22","Leicestershire","2014","april",2014-04-01,4,1,"140","38","6",5,"26",6,4,4,"166","10","10",1,"38",7,"36",1,"53",9,"17",5,"193","15","4"
"23","Lincolnshire","2014","april",2014-04-01,0,0,"89","18","10",1,"20",2,2,0,"138","11","5",1,"17",0,"26",2,"44",8,"23",5,"125","14","11"
"24","Merseyside","2014","april",2014-04-01,5,0,"228","60","17",2,"33",7,8,5,"298","25","12",1,"56",9,"285",9,"101",32,"106",14,"222","26","21"
"25","Metropolitan and City","2014","april",2014-04-01,21,2,"1,129","546","117",61,"224",42,179,30,"1,273","126","179",25,"271",56,"1,098",71,"639",145,"482",76,"1,404","406","180"
"26","Norfolk","2014","april",2014-04-01,1,0,"165","43","8",2,"12",2,3,0,"146","14","11",1,"52",5,"76",3,"58",9,"49",5,"107","15","9"
"27","Northamptonshire","2014","april",2014-04-01,2,0,"69","36","13",6,"23",2,11,1,"135","22","7",1,"21",2,"31",2,"44",9,"11",3,"97","12","8"
"28","Northumbria","2014","april",2014-04-01,3,0,"225","104","10",11,"54",8,15,2,"415","74","15",2,"99",23,"98",19,"109",34,"188",56,"249","38","11"
"29","North Wales","2014","april",2014-04-01,1,0,"100","31","7",6,"21",1,3,0,"137","10","9",1,"45",7,"40",2,"43",2,"68",10,"150","19","2"
"30","North Yorkshire","2014","april",2014-04-01,1,1,"92","14","5",0,"6",2,6,1,"137","14","6",1,"19",9,"38",2,"42",6,"11",9,"78","8","14"
"31","Nottinghamshire","2014","april",2014-04-01,2,0,"182","71","12",3,"30",0,11,8,"241","10","10",0,"45",7,"100",4,"46",10,"51",14,"154","12","2"
"32","South Wales","2014","april",2014-04-01,0,0,"232","88","13",7,"55",3,10,0,"289","17","9",1,"64",2,"112",0,"150",11,"47",7,"323","75","11"
"33","South Yorkshire","2014","april",2014-04-01,2,0,"218","53","18",2,"44",2,9,5,"350","15","9",2,"75",7,"114",6,"78",14,"41",7,"162","19","13"
"34","Staffordshire","2014","april",2014-04-01,0,0,"150","66","15",2,"20",1,8,2,"161","27","11",1,"55",19,"80",6,"85",19,"63",7,"147","30","8"
"35","Suffolk","2014","april",2014-04-01,1,0,"138","20","7",0,"14",5,4,1,"111","5","5",1,"28",3,"40",1,"61",6,"43",7,"68","9","5"
"36","Surrey","2014","april",2014-04-01,0,0,"93","30","11",7,"5",3,8,1,"111","14","17",1,"23",5,"55",2,"39",8,"37",15,"134","19","17"
